instance name,Modified_solution_cost,Original_solution_cost,Modified_runtime,Original_runtime,Modified_f_min_value,Original_f_min_value,Modified_number_of_descendants,Original_number_of_descendants,number_of_duplicate_conflict
input/maze-8-8/maze-8-8-random,17,17,2.4e-05,2.6e-05,17,17,0,0,2
input/maze-8-8/maze-8-8-random,78,78,3.27243,1.50285,78,78,244,34,0
input/maze-8-8/maze-8-8-random,44,44,0.025755,0.025145,44,44,12,12,1
input/maze-8-8/maze-8-8-random,48,48,0.703063,9.03642,48,48,46,1891,0
input/maze-8-8/maze-8-8-random,-1,-1,60.0002,60.0001,53,53,108798,27588,0
input/maze-8-8/maze-8-8-random,16,16,2.4e-05,2.6e-05,16,16,0,0,2
input/maze-8-8/maze-8-8-random,78,78,0.924094,0.865291,78,78,71,71,0
input/maze-8-8/maze-8-8-random,12,12,2.2e-05,2e-05,12,12,0,0,2
input/maze-8-8/maze-8-8-random,23,23,0.031082,0.029818,23,23,32,32,4
input/maze-8-8/maze-8-8-random,34,34,0.000304,0.000267,34,34,2,2,4
input/maze-8-8/maze-8-8-random,51,51,0.007111,0.006559,51,51,6,6,8
input/maze-8-8/maze-8-8-random,33,33,0.016425,0.017092,33,33,16,16,2
input/maze-8-8/maze-8-8-random,30,30,0.000164,0.000131,30,30,2,2,6
input/maze-8-8/maze-8-8-random,-1,-1,60.0016,60.0016,98,98,4458,1181,0
input/maze-8-8/maze-8-8-random,23,23,0.000173,0.000181,23,23,2,2,4
input/maze-8-8/maze-8-8-random,19,19,2.1e-05,2.6e-05,19,19,0,0,1
input/maze-8-8/maze-8-8-random,-1,-1,60,60.0002,95,95,4658,2163,0
input/maze-8-8/maze-8-8-random,-1,-1,60.0019,60.0005,62,73,6358,6172,0
input/maze-8-8/maze-8-8-random,22,22,0.000171,0.000128,22,22,2,2,4
input/maze-8-8/maze-8-8-random,-1,-1,60.0007,60.0014,66,66,11564,11654,0
input/maze-8-8/maze-8-8-random,18,18,0.002155,0.001972,18,18,6,6,7
input/maze-8-8/maze-8-8-random,-1,-1,60.0022,60.0007,38,38,59151,59149,0
input/maze-8-8/maze-8-8-random,15,15,3.7e-05,1.9e-05,15,15,0,0,1
input/maze-8-8/maze-8-8-random,46,46,0.036802,0.037298,46,46,42,42,9
input/maze-8-8/maze-8-8-random,53,53,0.014428,0.013763,53,53,28,28,5
input/maze-8-8/maze-8-8-random,53,53,0.173926,0.175458,53,53,57,57,5
input/maze-8-8/maze-8-8-random,101,101,12.511,12.2224,101,101,1183,1183,0
input/maze-8-8/maze-8-8-random,-1,-1,60.0011,60.0003,64,64,21194,20994,0
input/maze-8-8/maze-8-8-random,55,55,0.56762,0.567941,55,55,42,42,4
input/maze-8-8/maze-8-8-random,-1,-1,60.0186,60.0001,88,90,30648,10224,0
input/maze-8-8/maze-8-8-random,43,43,0.00547,0.004905,43,43,19,19,1
input/maze-8-8/maze-8-8-random,111,111,0.563621,0.576374,111,111,101,103,0
input/maze-8-8/maze-8-8-random,104,104,0.886622,0.898967,104,104,34,34,0
