runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution_cost,min_f_value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,duplicate_conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime_duplicate_conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,num_of_descendants,preprocessing runtime,solver_name,instance_name
2.4E-05,0,1,20,40,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,3E-06,0,0,0,2E-06,0,0,0,0,0,0,1.3E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-1.scen:
2.6E-05,0,1,20,40,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-1.scen:
3.27243,43,241,42295,55920,78,78,30,78,1,0,0,2,0,2,237,0,65,0,2.69254,6E-05,0.001177,0,0.0013,0.529888,0.001079,0.009739,0.000134,0.020383,0.034928,0.036284,244,1.3E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-2.scen:
1.50285,17,31,12685,14868,78,78,30,78,1,12,0,2,0,2,0,0,28,0,1.39989,3.3E-05,2E-05,0.00015,0.000598,0.087335,0,0.002805,2.8E-05,0.007771,0.011664,0.011721,34,1.5E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-2.scen:
0.025755,6,10,1188,1691,44,44,31,44,1,2,0,1,0,2,0,0,8,0,0.022973,5E-06,2.3E-05,4E-06,0.000212,0.001892,1.4E-05,0.000175,5E-06,1.8E-05,0.000396,0.000419,12,1.4E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-3.scen:
0.025145,6,10,1188,1691,44,44,31,44,1,2,0,1,0,2,0,0,8,0,0.022382,3E-06,7E-06,5E-06,0.000212,0.001913,0,0.000173,6E-06,1.7E-05,0.000372,0.000382,12,1.5E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-3.scen:
0.703063,23,43,6764,9199,48,48,19,48,1,18,0,2,0,2,0,0,36,0,0.640736,2.4E-05,2.2E-05,7.2E-05,0.001481,0.055627,0,0.001947,2.9E-05,0.000484,0.002753,0.002814,46,1.6E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-4.scen:
9.03642,327,1831,164274,225991,48,48,19,48,34,16,0,2,0,13,1814,0,459,1,8.12918,0.000312,0.007854,0.003337,0.033599,0.76284,0.006932,0.019761,0.001382,0.004774,0.059072,0.068207,1891,1.6E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-4.scen:
60.0002,39333,91870,5107673,9160582,-1,53,29,46,10475,35531,0,1,0,4,13881,0,62729,34717,41.6992,0.031929,0.256727,0.116436,3.37559,8.46556,0.184484,0.489465,0.138345,0.15701,2.39612,2.7357,108798,1.4E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-5.scen:
60.0001,13751,27502,1338428,2289901,-1,53,29,46,45,13746,0,1,0,4,0,0,25604,0,54.127,0.011179,0.015498,0.027486,0.971941,3.38165,0,0.395156,0.030316,0.036105,0.590793,0.628394,27588,1.5E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-5.scen:
2.4E-05,0,1,19,45,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,4E-06,0,0,0,2E-06,0,0,0,0,0,0,1.3E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-6.scen:
2.6E-05,0,1,19,45,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-6.scen:
0.924094,35,67,12286,16620,78,78,34,67,3,29,0,2,0,3,1,0,70,0,0.803977,0.000151,0.00042,0.00023,0.007812,0.098504,0.000364,0.004438,9.6E-05,0.001871,0.007003,0.007492,71,1.3E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-7.scen:
0.865291,35,67,12286,16620,78,78,34,67,3,29,0,2,0,3,0,0,70,0,0.752869,0.000125,4.3E-05,0.000205,0.007081,0.092992,0,0.004008,7.8E-05,0.001874,0.006532,0.006638,71,1.6E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-7.scen:
2.2E-05,0,1,15,37,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,2E-06,0,0,0,2E-06,0,0,0,0,0,0,1.2E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-8.scen:
2E-05,0,1,15,37,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-8.scen:
0.031082,16,30,861,1583,23,23,13,23,1,12,0,1,0,2,0,0,25,0,0.027884,9E-06,5.7E-05,6E-06,0.000544,0.00183,4.2E-05,0.000211,1.3E-05,2.7E-05,0.00035,0.000425,32,1.3E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-9.scen:
0.029818,16,30,861,1583,23,23,13,23,1,12,0,1,0,2,0,0,25,0,0.02665,1.5E-05,1.2E-05,7E-06,0.000545,0.001866,0,0.000208,1.2E-05,2.6E-05,0.000338,0.000371,32,1.6E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-9.scen:
0.000304,1,2,311,405,34,34,29,34,0,0,0,1,0,0,0,0,1,0,0.000152,0,5E-06,0,1E-05,0,4E-06,7E-06,0,4E-06,8.9E-05,9.2E-05,2,1.3E-05,WDG+GR+GC+M+BP+DUP with AStar,input/maze-8-8/maze-8-8-random-10.scen:
0.000267,1,2,311,405,34,34,29,34,0,0,0,1,0,0,0,0,1,0,0.000132,0,1E-06,0,1E-05,0,0,7E-06,0,2E-06,8.4E-05,8.5E-05,2,1.5E-05,WDG+GR+GC+M+BP with AStar,input/maze-8-8/maze-8-8-random-10.scen:
